Year,Sale Price,Carpet Area
2009,52270,1360
2009,50000,1213
2009,50390,2381
2009,50191,538
2009,56964,672
2009,56284,1152
2009,50734,1253
2009,51265,1743
2009,50000,1581
2009,50000,2183
2009,50578,955
2009,56636,1328
2009,56363,1394
2009,56111,1884
2009,53322,2458
2009,50000,2934
2009,50000,2496
2009,55583,2895
2009,51949,689
2009,50000,1004
2009,50311,1714
2009,50051,2031
2009,51420,590
2009,50000,1323
2009,50000,2714
2009,50000,2310
2009,57309,1697
2009,51396,2176
2009,56096,1691
2009,53666,2717
2009,54274,1916
2009,50000,1717
2009,52849,2040
2009,50000,2576
2009,50000,1945
2009,54167,2886
2009,54998,2019
2009,50000,1888
2009,50000,2356
2009,50000,1865
2009,50000,999
2009,50000,2180
2009,52734,1010
2009,50000,716
2009,50000,1824
2009,56394,1655
2009,50000,2327
2009,50000,1705
2009,53838,2042
2009,56080,1428
2009,50393,1640
2009,55627,872
2009,53792,1531
2009,55555,1645
2009,55253,1871
2009,53433,589
2009,55233,1039
2009,56016,1368
2009,52513,540
2009,50000,1239
2009,52041,2446
2009,54555,1724
2009,51235,1428
2009,50486,2536
2009,52099,1424
2009,54670,2081
2009,55748,889
2009,50000,2117
2009,57206,755
2009,53226,1208
2009,50000,2338
2009,55147,2444
2009,50000,1167
2009,50000,1433
2009,52555,857
2009,50000,1853
2009,50000,633
2009,56653,2605
2009,55805,1184
2009,50000,2720
2009,52989,2352
2009,54692,1314
2009,57990,1672
2009,51873,579
2009,50675,702
2009,50000,1752
2009,50000,2199
2009,55173,1750
2009,50000,2182
2009,56534,2055
2009,57743,2594
2009,52629,1756
2009,56990,2049
2009,54467,1666
2009,50000,1896
2009,52869,970
2009,51439,1535
2009,52892,1467
2009,51863,1453
2009,52916,1250
2009,53529,734
2009,50000,2927
2009,54268,2068
2009,50000,1456
2009,57185,2136
2009,50000,1791
2009,51331,1940
2009,53571,1691
2009,53684,1566
2009,52208,784
2009,50276,2944
2009,50000,511
2009,57076,2130
2009,50000,1253
2009,53006,2582
2009,50000,589
2009,50463,1275
2009,50000,2125
2009,50000,917
2009,54687,614
2009,50258,1116
2009,50618,1325
2009,51736,2431
2009,50000,2149
2009,57706,2187
2009,57666,2707
2009,50892,2765
2009,50000,2979
2009,55470,2888
2009,51184,1050
2009,50000,2135
2009,51278,1812
2009,53392,2257
2009,50000,856
2009,52215,2570
2009,57790,2285
2009,50000,2281
2009,56837,2989
2009,53996,2131
2009,50000,1515
2009,55965,1848
2009,53154,1015
2009,54762,835
2009,50056,2282
2009,53110,2805
2009,55882,996
2009,50000,1395
2009,50000,1351
2009,52385,2016
2009,50000,912
2009,51910,1228
2009,57685,2992
2009,54062,575
2009,51938,764
2009,50000,2319
2009,50000,1217
2009,50134,1350
2009,50977,1890
2009,52721,643
2009,52035,1384
2009,50000,895
2009,52858,1992
2009,50000,1667
2009,50000,1562
2009,52408,2656
2009,53755,1565
2009,50116,1709
2009,57383,2945
2009,51019,1133
2009,50000,1656
2009,52574,1738
2009,51374,1232
2009,51892,895
2009,50000,2135
2009,50000,2724
2009,50000,1198
2009,50000,1175
2009,51668,2392
2009,54914,2739
2009,56506,1622
2009,50000,2071
2009,50915,1477
2009,55817,1508
2009,55921,2643
2009,54789,2187
2009,56252,536
